symbol,name,sector,subindustry,address,exchange,website
LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,"Bethesda, Maryland",New York Stock Exchange,http://www.lockheedmartin.com
LNC,Lincoln National,Financials,Multi-line Insurance,"Radnor, Pennsylvania",New York Stock Exchange,http://www.lfg.com
LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",New York Stock Exchange,http://www.lowes.com
MA,Mastercard Inc.,Information Technology,Internet Software & Services,"Harrison, New York",New York Stock Exchange,http://www.mastercard.com
MAR,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",Nasdaq Global Select,http://www.marriott.com
MAT,Mattel Inc.,Consumer Discretionary,Leisure Products,"El Segundo, California",Nasdaq Global Select,http://www.corporate.mattel.com
MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,"Oak Brook, Illinois",New York Stock Exchange,http://www.aboutmcdonalds.com
MET,MetLife Inc.,Financials,Life & Health Insurance,"New York, New York",New York Stock Exchange,http://www.metlife.com
MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",New York Stock Exchange,http://www.3m.com
MO,Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia",New York Stock Exchange,http://www.altria.com
MON,Monsanto Co.,Materials,Fertilizers & Agricultural Chemicals,"Creve Coeur, Missouri",New York Stock Exchange,http://www.monsanto.com
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York, New York",New York Stock Exchange,http://www.morganstanley.com
